Agricultural zone,month(bij),month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label count,label
6,6,6.75,89.72,28.16,74.71,28.1,112.86,0.26,0,Aman
6,6,6.75,91.93,26.95,79.79,32.25,126.52,7.02,0,Aman
6,6,6.75,90.49,25.84,85.88,32.07,125.98,5.6,0,Aman
6,6,6.75,90.4,28.62,88.35,27.42,125.29,3.34,0,Aman
6,6,6.75,97.12,33.9,77.58,33.78,129.36,11.38,0,Aman
6,6,6.75,103.41,27.13,76.87,30.9,109.92,1.58,0,Aman
6,6,6.75,91.69,28.24,74.47,33.87,126.65,2.75,0,Aman
6,6,6.75,98.21,28.82,80.79,28.48,116.46,7.55,0,Aman
6,6,6.75,91.47,28.05,83.87,27.92,125.58,1.41,0,Aman
6,6,6.75,98.97,27.88,79.53,28.25,117.84,3.2,0,Aman
6,6,6.75,101.29,29.68,76.89,32.09,130.49,4.54,0,Aman
6,6,6.75,95.94,25.13,75.86,34.13,121.77,7.7,0,Aman
6,6,6.75,103.78,32.24,74.79,30.51,115.67,7.95,0,Aman
7,7,7.75,84.5,29,85.5,32,180,5.6,0,Aman
7,7,7.75,87.76,31,81.15,34.96,177.08,5.35,0,Aman
7,7,7.75,84.35,31.86,93.38,30.22,180.97,5,0,Aman
7,7,7.75,88.67,24.54,77.79,28.71,179.04,2.9,0,Aman
7,7,7.75,90.98,28.75,94.45,31.36,172.35,12.42,0,Aman
7,7,7.75,89.22,26.47,91.02,33.96,188.98,11.95,0,Aman
7,7,7.75,89.32,29.18,81.08,30.58,168.77,0.61,0,Aman
7,7,7.75,78.38,28.26,94.34,35.69,173.07,11.24,0,Aman
7,7,7.75,87.61,27.16,77.19,28.61,183.67,9.25,0,Aman
7,7,7.75,88.17,24.62,87.25,32.78,187.28,11.83,0,Aman
7,7,7.75,78.92,33.27,78.51,28.78,191.86,5.14,0,Aman
7,7,7.75,83.77,31.03,93.69,32.6,181.48,10.76,0,Aman
7,7,7.75,78.21,29.56,92,30.76,183.99,1.92,0,Aman
7,7,7.75,80.14,24.02,89.67,33.42,173.33,4.02,0,Aman
7,7,7.75,84.16,27.59,94.15,31.6,191.69,8.05,0,Aman
7,7,7.75,81.44,25.88,95.16,32.98,184.12,11.22,0,Aman
14,7.75,8.5,76.5,29.1,85.6,31,170,6.5,0,Aman
14,7.75,8.5,72.55,28.1,89.18,33.36,158.29,3.05,0,Aman
14,7.75,8.5,76.74,27.13,77.85,31.25,171.58,3.96,0,Aman
14,7.75,8.5,81.12,26.85,91.91,34.49,161.1,10.89,0,Aman
14,7.75,8.5,73.29,25.56,93.63,32.59,158.64,13.29,0,Aman
14,7.75,8.5,79.59,30.48,77.1,31.49,168.15,11.01,0,Aman
14,7.75,8.5,76.62,25.63,87.78,34.09,167.57,8.62,0,Aman
14,7.75,8.5,77.09,32.52,82.16,30.87,173.35,0.84,0,Aman
14,7.75,8.5,72.82,27.09,82.97,34.47,178.25,10.41,0,Aman
14,7.75,8.5,70.44,25.81,90.28,28.38,159.56,13.95,0,Aman
14,7.75,8.5,75.91,24.34,86.2,30.79,176.93,14,0,Aman
14,7.75,8.5,69.94,28.92,94.16,27.82,169.28,1.01,0,Aman
14,7.75,8.5,73.65,33.32,77.32,30.6,161.36,10.84,0,Aman
14,7.75,8.5,69.46,30.89,80.56,33.8,162.53,2,0,Aman
14,7.75,8.5,72.06,31.27,86.07,34.66,180.07,2.02,0,Aman
14,7.75,8.5,71.26,32.98,93.16,32.06,168.78,10.31,0,Aman
8,7.5,8.25,56,29.5,84.3,32.5,172,4.3,0,Aman
8,7.5,8.25,61.81,32.49,80.16,29.81,174.94,0.54,0,Aman
8,7.5,8.25,62.96,31.65,88.96,31.08,169.66,1.82,0,Aman
8,7.5,8.25,48.6,27.69,89.27,32.12,178.91,2.98,0,Aman
8,7.5,8.25,62.76,34.44,76.9,32.79,183.25,4.54,0,Aman
8,7.5,8.25,51.38,33.82,82.37,35.11,182.01,10.59,0,Aman
8,7.5,8.25,60.2,27.52,81.93,32.16,160,7.24,0,Aman
8,7.5,8.25,50.29,34.3,83.03,34.49,175.61,1.42,0,Aman
8,7.5,8.25,61.96,34.31,84.54,35.75,178.12,2.16,0,Aman
8,7.5,8.25,57.86,30.66,81.04,36.14,168.32,0.3,0,Aman
8,7.5,8.25,61.16,28.87,78.71,30.18,177.13,6.16,0,Aman
8,7.5,8.25,58.31,29.16,92.59,31.07,165.81,8.69,0,Aman
8,7.5,8.25,57.98,26.47,89.27,29.38,173.61,0.86,0,Aman
8,7.5,8.25,63,31.81,85.86,33.72,177.89,5.8,0,Aman
8,7.5,8.25,58.26,31.52,81.93,36.35,177.33,0.54,0,Aman
8,7.5,8.25,58.8,29.89,88.91,30.45,180.16,12.29,0,Aman
9,7.5,8.25,89,28.7,85.6,25,152,7.2,0,Aman
9,7.5,8.25,92.8,27.6,83.9,25.56,143.86,1.89,0,Aman
9,7.5,8.25,92.81,30.18,92.12,25.62,144.54,14.14,0,Aman
9,7.5,8.25,92.8,26.96,79.18,25.01,157.17,2.7,0,Aman
9,7.5,8.25,85.92,23.45,77.6,28.57,158.47,5.69,0,Aman
9,7.5,8.25,91.17,30.75,77.27,25.49,149.21,14.9,0,Aman
9,7.5,8.25,94.88,23.95,84.1,27.25,152.58,3.07,0,Aman
9,7.5,8.25,97.86,23.58,84.72,25.75,161.73,1.6,0,Aman
9,7.5,8.25,93.09,30.92,91.24,28.96,162.12,15.08,0,Aman
9,7.5,8.25,89.65,23.51,88.95,27.21,144.92,10.72,0,Aman
9,7.5,8.25,87.74,29.79,85.09,24.98,143.86,12.17,0,Aman
9,7.5,8.25,99.01,28.91,91.3,27.14,144.02,10.51,0,Aman
9,7.5,8.25,86.02,30.85,89.12,23.13,140.09,14.73,0,Aman
9,7.5,8.25,91.76,27.06,92.41,28.42,150.89,12.25,0,Aman
9,7.5,8.25,87.24,31.44,83.84,27.01,163.69,6.51,0,Aman
9,7.5,8.25,98.71,27.88,77.84,22.35,152.85,13.35,0,Aman
10,6.25,7,51,30,81.7,35,129,6.7,0,Aman
10,6.25,7,46.28,27.35,90.17,33.63,140.62,7.14,0,Aman
10,6.25,7,50.04,29.67,75.7,36,123.37,5.27,0,Aman
10,6.25,7,56.05,27.14,75.37,34.06,134.93,9.67,0,Aman
10,6.25,7,50.58,34.92,73.75,38.64,135.33,10.38,0,Aman
10,6.25,7,57.81,28.94,91.53,33.72,137.55,6.04,0,Aman
10,6.25,7,45.29,31.75,81.99,32.43,139.26,10.98,0,Aman
10,6.25,7,58.25,26.84,78.07,36.52,130.86,0.19,0,Aman
10,6.25,7,52.05,33.8,90.07,38.27,133.92,10.72,0,Aman
10,6.25,7,52.58,27.49,76.5,31.31,139.58,6.09,0,Aman
10,6.25,7,52.91,33.56,87.71,33.15,119.48,6.59,0,Aman
10,6.25,7,46.03,25.36,91.62,32.19,138.28,7.52,0,Aman
10,6.25,7,54.06,26.95,87.74,32.12,121.95,6.09,0,Aman
10,6.25,7,49.45,31.69,81.15,31.65,133.97,14.11,0,Aman
10,6.25,7,56.84,27.84,87.96,37.11,133.26,3.12,0,Aman
10,6.25,7,53.12,30.48,84.43,36.12,132.95,13.07,0,Aman
11,6.25,7,134,28.4,83.4,30,186,5.6,0,Aman
11,6.25,7,139.83,27.44,74.06,28.38,185.72,0.35,0,Aman
11,6.25,7,133.86,27.73,84.01,26.35,182.88,10.01,0,Aman
11,6.25,7,129.56,31.02,76.34,32.6,177.21,2.48,0,Aman
11,6.25,7,128.29,31.24,85.07,28.46,179.54,2.98,0,Aman
11,6.25,7,137.92,26.02,75.96,30.13,176.69,8.08,0,Aman
11,6.25,7,134.11,25.58,78.67,26.24,178.46,13.49,0,Aman
11,6.25,7,137.71,24.68,91.77,30.94,186.6,6.84,0,Aman
11,6.25,7,137.84,25.38,92.32,31.92,174.22,6.83,0,Aman
11,6.25,7,129.24,29.21,86.47,32.98,176.69,1.54,0,Aman
11,6.25,7,132.88,27.28,85.96,33.97,177.06,6.25,0,Aman
11,6.25,7,128.98,31.56,86.37,31.16,186.55,3.05,0,Aman
11,6.25,7,126,26.48,76.55,32.85,185.76,3.5,0,Aman
11,6.25,7,135.33,23.73,78.6,31.92,194.87,6.63,0,Aman
11,6.25,7,141.52,25.7,73.68,31.5,190.93,12.47,0,Aman
11,6.25,7,127.07,25.59,83.74,27.58,179.24,0.66,0,Aman
12,7.5,8.25,129.5,28.4,85.1,26,160,6.2,0,Aman
12,7.5,8.25,128.23,28.94,83.06,25.13,164.38,11.14,0,Aman
12,7.5,8.25,122,33.22,89.15,23.06,153.85,1.4,0,Aman
12,7.5,8.25,126.08,28.9,90.54,28.08,163.44,1.88,0,Aman
12,7.5,8.25,130.64,30.74,76.15,29.22,169.56,5.57,0,Aman
12,7.5,8.25,122.12,33.15,94.06,23.23,156.04,13.04,0,Aman
12,7.5,8.25,134.57,28.56,91.95,24.96,160.67,0.64,0,Aman
12,7.5,8.25,129.38,23.47,77.31,22.51,155.28,0.33,0,Aman
12,7.5,8.25,129.69,23.78,93.16,27.76,160.62,11.96,0,Aman
12,7.5,8.25,136.25,31.27,79.12,22.16,161.48,9.08,0,Aman
12,7.5,8.25,136.03,29.26,82.98,26.7,159.67,1.13,0,Aman
12,7.5,8.25,126.42,32.9,85.78,29.09,155.46,1.09,0,Aman
12,7.5,8.25,122.21,23.59,84.28,28.02,165.01,0.34,0,Aman
12,7.5,8.25,124.09,28.2,89.38,28.74,156.67,9.45,0,Aman
12,7.5,8.25,124.59,23.72,79.45,27.97,151.28,1.15,0,Aman
12,7.5,8.25,125.24,31.36,75.17,29.67,156.67,5.49,0,Aman
13,6.25,7,106,29.2,84.4,27,131,7.1,0,Aman
13,6.25,7,107.07,24.73,84.27,23.09,122.45,4.72,0,Aman
13,6.25,7,104.04,26.03,82.35,27.37,140.69,5.65,0,Aman
13,6.25,7,111,34.04,80.29,27.23,129.19,3.41,0,Aman
13,6.25,7,113.92,31.4,83.45,28.37,139.29,14.3,0,Aman
13,6.25,7,106.38,31.72,92.25,25.55,124.69,15.02,0,Aman
13,6.25,7,104.21,32.9,79.42,24.78,122.13,0.8,0,Aman
13,6.25,7,109.27,26.89,76.95,28.84,140.37,11.71,0,Aman
13,6.25,7,107.82,27.06,83,23.79,136.62,14.8,0,Aman
13,6.25,7,106.13,24.26,81.67,29.79,136.92,3.25,0,Aman
13,6.25,7,99.11,26.56,76.71,26.04,120.91,11.37,0,Aman
13,6.25,7,103.06,26.4,88.24,28.92,138.33,0.47,0,Aman
13,6.25,7,112.19,31.31,84.01,29.37,134.04,2.86,0,Aman
13,6.25,7,102.36,26.65,87.32,27.57,120.9,1.7,0,Aman
13,6.25,7,102.05,29.33,87.59,24.06,138.74,3.38,0,Aman
13,6.25,7,102.44,33.29,77.7,27.67,133.98,2.63,0,Aman
1,10,10,9,24.8,77.2,49,232,2.7,1,red lentil
1,10,10,15.12,25.52,83.56,50.77,232.14,3.45,1,red lentil
1,10,10,8.12,26.33,80.85,52.74,231.37,4.64,1,red lentil
1,10,10,10.29,26.44,79.82,47.04,226.77,5.79,1,red lentil
1,10,10,15.99,29.05,70.17,47.53,225.33,7.59,1,red lentil
1,10,10,10.82,22.24,75.59,50.53,223.81,1.28,1,red lentil
1,10,10,15.59,27.91,69.56,51.39,221.86,1.77,1,red lentil
1,10,10,11.62,29.05,77.68,48.06,228.35,4.82,1,red lentil
1,10,10,10.08,26.84,74.69,52.93,237.41,5.01,1,red lentil
1,10,10,9.69,24.31,82.08,46.88,233.67,6.61,1,red lentil
1,10,10,1.38,21.73,68.8,47.18,235.66,3.51,1,red lentil
1,10,10,14.35,24.87,75.3,52.47,241.17,2.65,1,red lentil
1,10,10,1.81,20.29,87.1,48.56,239.42,1.21,1,red lentil
1,10,10,3.46,25.69,68.52,48.36,230.55,0.98,1,red lentil
1,10,10,4.66,21.45,68.58,48.85,235.85,8.47,1,red lentil
1,10,10,5.73,26.05,68.03,48.4,223.08,4.27,1,red lentil
2,11,11,5,25.3,73.5,55,200,3.7,1,red lentil
2,11,11,9.21,25.26,67.54,53.95,204.52,11.49,1,red lentil
2,11,11,3.59,20.31,67.22,56.81,211.34,6.91,1,red lentil
2,11,11,2.42,26.82,72.66,57.4,210.29,10.67,1,red lentil
2,11,11,5.49,29.16,82.04,54.18,207.85,3,1,red lentil
2,11,11,3.5,22.01,64.57,51.6,204.78,5.76,1,red lentil
2,11,11,0.53,25.75,74.27,58.25,199.23,9.91,1,red lentil
2,11,11,4.51,26.38,78.63,51.37,195.12,7.82,1,red lentil
2,11,11,2.8,29.08,72.56,51.07,209.37,6.74,1,red lentil
2,11,11,9.57,22.11,76.15,58.75,196.52,0.17,1,red lentil
2,11,11,0.82,20.86,74.4,57.08,196.8,3.18,1,red lentil
2,11,11,4.84,27.23,67.09,58.2,196.84,8.28,1,red lentil
2,11,11,2.08,27.12,65.78,52.63,198.59,3.7,1,red lentil
2,11,11,6.29,23.15,67.85,56.95,200.12,8.62,1,red lentil
2,11,11,4.45,26.32,79.74,53.4,193.78,9.05,1,red lentil
2,11,11,6.1,27.65,77.57,56.57,203.7,4.97,1,red lentil
3,10,10,75.7,28.3,82.4,45.8,203,6.7,1,red lentil
3,10,10,69.29,31.88,78.98,48.49,199.64,3.15,1,red lentil
3,10,10,72.24,28.42,82.24,48.45,210.37,1.19,1,red lentil
3,10,10,75.92,31.26,91.15,43.93,213.89,2.29,1,red lentil
3,10,10,69.53,23.69,80.34,47.03,195.03,8.07,1,red lentil
3,10,10,77,26.81,75,46.1,201.7,9.85,1,red lentil
3,10,10,73.8,27.34,73.04,45.23,212.02,3.98,1,red lentil
3,10,10,72.62,31.61,73.83,42.35,194.85,4.63,1,red lentil
3,10,10,71.2,30.23,84.01,48.94,194.94,8.39,1,red lentil
3,10,10,69.21,25.24,79.41,42.66,212.73,1.34,1,red lentil
3,10,10,73.61,29.9,73.82,43.19,199.29,7.9,1,red lentil
3,10,10,73.18,27.79,85.68,42.32,214.48,0.15,1,red lentil
3,10,10,81.57,27.07,86.15,49.29,212.6,1.03,1,red lentil
3,10,10,83.01,32.23,78.38,41.89,206.26,14.32,1,red lentil
3,10,10,77.93,30.03,76.27,41.92,209.63,10.17,1,red lentil
3,10,10,83.55,23.31,86.77,45.39,207.64,8.12,1,red lentil
4,10,10,46.5,28.3,81.9,43,214,4.3,1,red lentil
4,10,10,51.17,25.83,88.21,43.58,205.19,0.76,1,red lentil
4,10,10,42.24,23.58,72.87,44.59,214.25,11.36,1,red lentil
4,10,10,41.07,30.62,91.1,46.56,205.25,3.54,1,red lentil
4,10,10,38.86,23.36,88.92,46.3,224.41,10.32,1,red lentil
4,10,10,44.6,33.3,80.93,45.85,215.85,1.01,1,red lentil
4,10,10,51.11,32.35,85.41,40.5,214.46,6.41,1,red lentil
4,10,10,38.62,24,72.72,40.57,216.77,5.36,1,red lentil
4,10,10,53.68,26.21,87.81,40.44,220.32,2.57,1,red lentil
4,10,10,47.03,30.08,90.5,39.87,217.46,2.07,1,red lentil
4,10,10,49.3,27.52,81.42,44.79,216.7,1.82,1,red lentil
4,10,10,50.08,25.74,78.63,43.67,211.68,11.98,1,red lentil
4,10,10,53.08,28.23,81.41,39.34,203.62,6.26,1,red lentil
4,10,10,47.11,26.09,74.1,39.81,212.5,10.59,1,red lentil
4,10,10,49.72,28.11,79.44,44.16,221.1,5.92,1,red lentil
4,10,10,42.06,27.36,79.16,45.45,209.47,3.38,1,red lentil
5,10.25,10.25,40.5,27.9,77.6,47.5,192,4.1,1,red lentil
5,10.25,10.25,35.24,23.51,75.58,47.61,192.82,5.69,1,red lentil
5,10.25,10.25,33.94,30.52,73.66,46.13,193.64,8.65,1,red lentil
5,10.25,10.25,32.94,26.12,76.89,45.58,201.1,3.78,1,red lentil
5,10.25,10.25,38.39,32.51,76.16,49.52,188.08,2.47,1,red lentil
5,10.25,10.25,47.03,25.71,71.2,47.03,184.22,1.92,1,red lentil
5,10.25,10.25,39.7,28.52,79.55,44.64,201.65,4.37,1,red lentil
5,10.25,10.25,43.32,28.89,83.68,44.62,201.82,1.54,1,red lentil
5,10.25,10.25,42.86,26.04,74.85,48.76,186.14,6.05,1,red lentil
5,10.25,10.25,37.98,32.75,87.41,46.81,197.38,1.26,1,red lentil
5,10.25,10.25,45.86,28.05,86.55,50.04,180.74,8.58,1,red lentil
5,10.25,10.25,36.13,26.57,83.58,48.13,190.58,9.82,1,red lentil
5,10.25,10.25,33.04,28.77,75.6,47.71,199.72,1.06,1,red lentil
5,10.25,10.25,36.84,32.84,71.37,47.85,201.72,7.95,1,red lentil
5,10.25,10.25,38.18,26.02,86.58,47.35,190.3,3.52,1,red lentil
5,10.25,10.25,44.82,29.66,80.36,44.53,187.18,3.86,1,red lentil
6,10,10,42,27.8,81.2,45,146,3.7,1,red lentil
6,10,10,46.1,31.95,83.98,43.03,139.04,4.09,1,red lentil
6,10,10,39.59,30.83,86.84,45.84,142.9,3.7,1,red lentil
6,10,10,48.88,28.81,82.73,41.27,149.77,10.72,1,red lentil
6,10,10,47.67,30.92,72.19,43.12,151.83,5.83,1,red lentil
6,10,10,47.47,31.15,84.38,48.77,142.09,0.07,1,red lentil
6,10,10,46.75,24.07,86.15,44.38,148.84,1.49,1,red lentil
6,10,10,48.81,27.4,76.5,46.93,145.18,1.93,1,red lentil
6,10,10,47.48,32.78,85.18,46.09,142.92,2.43,1,red lentil
6,10,10,46.22,23.37,90.64,43.49,154.57,2.57,1,red lentil
6,10,10,36.52,27.49,75.08,43.7,154.54,0.02,1,red lentil
6,10,10,44.47,25.1,88.67,48.67,135.93,1.79,1,red lentil
6,10,10,41.98,31.5,84.97,48.15,146.6,5.83,1,red lentil
6,10,10,39.26,28.04,76.58,45.62,139.08,2.89,1,red lentil
6,10,10,42.47,25.13,78.34,42.87,153.19,2.03,1,red lentil
6,10,10,38.12,32.54,72.31,48.84,152.3,10.96,1,red lentil
7,10.25,10.25,43,28,79.3,46,208,2.9,1,red lentil
7,10.25,10.25,36.69,32.11,80.04,47.25,219.5,0.34,1,red lentil
7,10.25,10.25,40.16,29.61,83.79,42.38,204.82,5.83,1,red lentil
7,10.25,10.25,42.53,30.46,85.54,47.56,217.84,0.89,1,red lentil
7,10.25,10.25,43.68,25.32,83.66,46.89,215.76,6.85,1,red lentil
7,10.25,10.25,38.23,25.63,69.7,43.78,218.19,4.24,1,red lentil
7,10.25,10.25,41.41,30.36,80.51,47.52,216.72,0.27,1,red lentil
7,10.25,10.25,38.64,25.94,74.54,49.44,205.66,0.12,1,red lentil
7,10.25,10.25,43.11,31.52,77.36,44.13,196.35,0.44,1,red lentil
7,10.25,10.25,36.86,27.64,76.72,47.2,201.36,3.07,1,red lentil
7,10.25,10.25,46.85,26.58,76.73,49.26,218.06,1.52,1,red lentil
7,10.25,10.25,50.81,28.29,71.22,47.5,196.17,1.14,1,red lentil
7,10.25,10.25,47.64,24.5,84.01,49.77,214.28,6.91,1,red lentil
7,10.25,10.25,42.55,27.41,82.83,43.32,213.02,3.98,1,red lentil
7,10.25,10.25,49.36,30.97,76.26,46.17,216.51,6.55,1,red lentil
7,10.25,10.25,44.58,23.91,79,47.56,207.36,1.88,1,red lentil
8,11,11,8,25.3,74,48.5,175,2.3,1,red lentil
8,11,11,11.03,23.93,78.37,52.22,171.47,4.17,1,red lentil
8,11,11,14.05,26.97,68.47,47.7,177.69,0.5,1,red lentil
8,11,11,7.4,21.89,67.84,44.77,168.76,8.18,1,red lentil
8,11,11,5.44,24.85,75.95,48.44,174,0.45,1,red lentil
8,11,11,2.01,24.8,64.97,46.18,185.86,8.67,1,red lentil
8,11,11,3.03,24.6,80.16,49.78,183.89,2.69,1,red lentil
8,11,11,15.48,25.01,73.87,49.73,181.92,9.37,1,red lentil
8,11,11,14,20.6,77.74,46.12,179.98,2.88,1,red lentil
8,11,11,7.87,24.78,80.98,44.56,164.72,3.45,1,red lentil
8,11,11,6.89,23.63,81.55,50.83,167.45,4.04,1,red lentil
8,11,11,4.34,25,75.54,52.07,169.31,1.33,1,red lentil
8,11,11,2.11,21.51,81.53,50.85,184.56,3.69,1,red lentil
8,11,11,1.39,29,67.05,44.71,182.57,4,1,red lentil
8,11,11,4.65,28.74,81.85,49.79,184.95,5.33,1,red lentil
8,11,11,9.94,23.66,64.7,50.69,186.8,8.63,1,red lentil
9,10.25,10.25,45,27.5,81,47,193,3.7,1,red lentil
9,10.25,10.25,50.22,32.3,79.95,47.77,196.57,0.62,1,red lentil
9,10.25,10.25,45.92,31.19,84.31,49.38,195.28,0.5,1,red lentil
9,10.25,10.25,50.6,26.52,78.03,46.16,184.21,2.32,1,red lentil
9,10.25,10.25,51.3,23.06,88.56,45.62,203.68,7.42,1,red lentil
9,10.25,10.25,38.22,25,89.07,43.06,189.65,3.05,1,red lentil
9,10.25,10.25,42.06,28.48,87.17,47.82,195.38,6.62,1,red lentil
9,10.25,10.25,37.62,30.16,75.8,45.13,195.8,4.87,1,red lentil
9,10.25,10.25,47.89,30.29,83.46,46.02,195.74,3.77,1,red lentil
9,10.25,10.25,40.79,27.07,84.42,46.39,198.31,9.32,1,red lentil
